sequential, 1, 4, 1.88356
parallel, 1, 4, 1.62495
sequential, 2, 4, 1.86271
parallel, 2, 4, 1.01837
sequential, 4, 4, 1.8761
parallel, 4, 4, 0.812754
sequential, 8, 4, 1.8783
parallel, 8, 4, 0.737787
sequential, 1, 5, 3.10289
parallel, 1, 5, 2.72172
sequential, 2, 5, 3.14857
parallel, 2, 5, 1.66922
sequential, 4, 5, 3.14466
parallel, 4, 5, 1.27794
sequential, 8, 5, 3.18433
parallel, 8, 5, 1.108
sequential, 1, 6, 5.26972
parallel, 1, 6, 4.53932
sequential, 2, 6, 5.28512
parallel, 2, 6, 2.97131
sequential, 4, 6, 5.31938
parallel, 4, 6, 2.07159
sequential, 8, 6, 5.22808
parallel, 8, 6, 1.957
sequential, 1, 7, 8.63243
parallel, 1, 7, 7.38011
sequential, 2, 7, 8.64376
parallel, 2, 7, 4.75757
sequential, 4, 7, 8.63731
parallel, 4, 7, 3.44462
sequential, 8, 7, 8.65987
parallel, 8, 7, 2.93111
sequential, 1, 8, 13.9023
parallel, 1, 8, 12.1491
sequential, 2, 8, 14.0202
parallel, 2, 8, 7.72452
sequential, 4, 8, 13.9972
parallel, 4, 8, 5.69776
sequential, 8, 8, 14.0693
parallel, 8, 8, 5.00704
sequential, 1, 9, 22.8809
parallel, 1, 9, 19.3899
sequential, 2, 9, 22.8063
parallel, 2, 9, 12.4024
sequential, 4, 9, 22.8027
parallel, 4, 9, 9.13991
sequential, 8, 9, 22.4676
parallel, 8, 9, 7.86152
